rank within joints;example name in source;enth
1;enthesides_body_first_costochondral_junction_right;4231746
2;enthesides_body_first_costochondral_junction_left;4231746
3;enthesides_body_seventh_costochondral_junction_right;4231746
4;enthesides_body_seventh_costochondral_junction_left;4231746
5;enthesides_body_entire_posterior_superior_iliac_spine_right;4231746
6;enthesides_body_entire_posterior_superior_iliac_spine_left;4231746
7;enthesides_body_entire_anterior_superior_iliac_spine_right;4231746
8;enthesides_body_entire_anterior_superior_iliac_spine_left;4231746
9;enthesides_body_entire_iliac_crest_right;4231746
10;enthesides_body_entire_iliac_crest_left;4231746
11;enthesides_body_entire_spinous_process_of_fifth_lumbar_vertebra;4231746
12;enthesides_body_achilles_tendon_insertion_right;46284932
13;enthesides_body_achilles_tendon_insertion_left;46284932
14;enthesides_body_insertion_plantar_fascia_right;46284933
15;enthesides_body_insertion_plantar_fascia_left;46284933
16;enthesides_body_supraspinatus_insertion_right;4231746
17;enthesides_body_supraspinatus_insertion_left;4231746
18;enthesides_body_lateral_epicondyle_humerus_right;4231746
19;enthesides_body_lateral_epicondyle_humerus_left;4231746
20;enthesides_body_medial_epicondyle_humerus_right;4231746
21;enthesides_body_medial_epicondyle_humerus_left;4231746
22;enthesides_body_greater_trochanter_right;4231746
23;enthesides_body_greater_trochanter_left;4231746
24;enthesides_body_quadriceps_insertion_patella_right;4231746
25;enthesides_body_quadriceps_insertion_patella_left;4231746
26;enthesides_body_inferior_pole_patella_right;4231746
27;enthesides_body_inferior_pole_patella_left;4231746
28;enthesides_body_tibial_tuberosity_right;4231746
29;enthesides_body_tibial_tuberosity_left;4231746
