sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
,macrophage_activation_syndrome,-1,,0,APPROVED,APPROVED,CT,1.64845E+12,4325546,Macrophage activation syndrome,Condition,MAPS_TO,,CT,1.64798E+12,
,surgery_fracture_musculoskeletal_system,-1,,0,APPROVED,APPROVED,CT,1.64798E+12,38004465,Unmapped,Provider,MAPS_TO,not possible to categorize,,0,
,eye_ear_diseases,-1,,0,FLAGGED,UNMATCHED,CT,1.64798E+12,0,Unmapped,,MAPS_TO,not possible to categorize,,0,
,infections_infestations,-1,,0,APPROVED,APPROVED,CT,1.64845E+12,432250,Disorder due to infection,Condition,MAPS_TO,,CT,1.64798E+12,
,neurologic_psychiatric_problems,-1,,0,FLAGGED,UNMATCHED,CT,1.64798E+12,0,Unmapped,,MAPS_TO,not possible to categorize,,0,
,metabolic_problems,-1,,0,APPROVED,APPROVED,CT,1.64845E+12,436670,Metabolic disease,Condition,MAPS_TO,,CT,1.64798E+12,
,cardiovascular_events_diseases,-1,,0,APPROVED,APPROVED,CT,1.64845E+12,134057,Disorder of cardiovascular system,Condition,MAPS_TO,,CT,1.64798E+12,
,pregnancy_sexual_related_problems,-1,,0,FLAGGED,UNMATCHED,CT,1.64798E+12,0,Unmapped,,MAPS_TO,not possible to categorize,,0,
,cancer_tumors,-1,,0,APPROVED,APPROVED,CT,1.64845E+12,443392,Malignant neoplastic disease,Condition,MAPS_TO,,CT,1.64798E+12,
,haematologic_immunologic_problems,-1,,0,FLAGGED,UNMATCHED,CT,1.64798E+12,0,Unmapped,,MAPS_TO,not possible to categorize,,0,
,pulmonary_digestive_urogenital_problems,-1,,0,FLAGGED,UNMATCHED,CT,1.64798E+12,0,Unmapped,,MAPS_TO,not possible to categorize,,0,
,rheumatological_comorbidities,-1,,0,APPROVED,APPROVED,CT,1.64798E+12,138845,Unmapped,Condition,MAPS_TO,not possible to categorize,,0,
,skin_problems_allergies_drug_reactions,-1,,0,FLAGGED,UNREVIEWED,CT,1.64798E+12,4317258,,Condition,MAPS_TO,doesn't cover reaction on injection site,CT,1.64798E+12,
,infec_infest_heart_vessel,-1,,0.21,APPROVED,APPROVED,,0,4028265,Infectious disease of cardiovascular system,Condition,MAPS_TO,,,0,
,infec_infest_joint_bone,-1,,0.22,APPROVED,APPROVED,,0,4193176,Musculoskeletal infective disorder,Condition,MAPS_TO,,,0,
,infec_infest_skin_lymph_node,-1,,0.23,APPROVED,APPROVED,,0,376208,Disorder of soft tissue,Condition,MAPS_TO,,,0,
,infec_infest_urogenital_tract,-1,,0.24,APPROVED,APPROVED,,0,4099350,Infectious disease of genitourinary system,Condition,MAPS_TO,,,0,
,dysfunctions_water_electrolyte_balance_acid_alkaline_balance,-1,,0.25,APPROVED,UNREVIEWED,,0,436670,,Condition,MAPS_TO,,,0,
