sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:route,ADD_INFO:dose,ADD_INFO:drug,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
,,-1,,,7.5,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,simponi,-1,,subcutaneous,200,golimumab,0.59,APPROVED,UNREVIEWED,,0,42925846,golimumab Injectable Solution [Simponi],Drug,MAPS_TO,,,0,
,,-1,,,8.75,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,8,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,9,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,30,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,inflectra,-1,,intravenous_infusion,160,infliximab,0.73,UNCHECKED,UNREVIEWED,,0,36783414,infliximab Intravenous Solution [Inflectra],Drug,MAPS_TO,,CT,1648219522225,
,,-1,,,11.25,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,80,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,12.5,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,inflectra,-1,,intravenous_infusion,200,infliximab,0.73,UNCHECKED,UNREVIEWED,,0,36783414,infliximab Intravenous Solution [Inflectra],Drug,MAPS_TO,,CT,1648219522225,
,,-1,,oral,8,methotrexate,0.00,APPROVED,UNREVIEWED,,0,1305058,methotrexate,Drug,MAPS_TO,,,0,
